codigo,tipo_propiedad,tipo_operacion,precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,precio_arriendo,jacuzzi,chimenea,permite_mascotas,gimnasio,ascensor,conjunto_cerrado,piscina,salon_comunal,terraza,vigilancia,coords_modified,localidad,barrio,estacion_tm_cercana,distancia_estacion_tm_m,is_cerca_estacion_tm,parque_cercano,distancia_parque_m,is_cerca_parque,precio_metro_cuadrado_venta,precio_metro_cuadrado_arriendo,ratio_parqueaderos_habitaciones,ratio_habitaciones_banos,ratio_precio_venta_administracion,ratio_precio_arriendo_administracion,ratio_habitaciones_area,distance_to_nearest_juan_valdez,count_near_juan_valdez
3708073,APARTAMENTO,VENTA,19.73,58.0,2.0,2.0,166000.0,1.0,GALERIAS,4,ENTRE 5 Y 10 ANOS,4.64,-74.07,,,0,0,0,0,0,1,0,0,0,0,False,TEUSAQUILLO,SAN LUIS,Campín - UAN,707.3,0,PARQUE ESCENARIO DEPORTIVO EL CAMPINCITO - CEAD,649.66,0,0.34,,0.5,1.0,0.0,,0.03,336.62,1.0
3923506,CASA CON CONJUNTO CERRADO,VENTA,19.81,105.0,3.0,2.0,269100.0,1.0,TOBERIN,4,ENTRE 10 Y 20 ANOS,4.75,-74.03,,,0,0,0,0,0,1,0,0,0,0,False,USAQUEN,VILLAS DE ARANJUEZ,Toberin - Foundever,1628.44,0,PARQUE VECINAL URBANIZACIÓN TOBERIN,831.22,0,0.19,,0.33,1.5,0.0,,0.03,464.17,1.0
3908448,APARTAMENTO,VENTA,19.91,93.0,3.0,2.0,281300.0,1.0,GRANJAS DE TECHO,4,ENTRE 10 Y 20 ANOS,4.66,-74.13,,,0,0,0,1,0,1,0,0,1,0,False,FONTIBON,URB. PRADO GRANDE,Modelia,2102.6,0,PARQUE VECINAL VILLA HELENA VILLEMAR,1091.98,0,0.21,,0.33,1.5,0.0,,0.03,221.0,2.0
3907324,APARTAMENTO,VENTA,19.38,57.0,3.0,2.0,308000.0,0.0,USAQUEN,4,MAS DE 20 ANOS,4.71,-74.03,,,0,0,0,0,0,0,0,0,0,0,False,USAQUEN,SAN,Prado,3138.18,0,PARQUE METROPOLITANO EL COUNTRY,1414.13,0,0.34,,0.0,1.5,0.0,,0.05,896.33,0.0
3875697,APARTAMENTO,VENTA,19.32,55.0,3.0,2.0,248000.0,1.0,EL RINCON,3,MAS DE 20 ANOS,4.72,-74.09,,,0,0,0,1,0,1,0,0,0,0,False,SUBA,BOSQUES DE SAN JORGE,Suba - AV. Boyacá,1684.89,0,PARQUE METROPOLITANO CEFE COMETAS,820.03,0,0.35,,0.33,1.5,0.0,,0.05,1997.97,0.0
2941950,CASA CON CONJUNTO CERRADO,VENTA,19.04,62.0,3.0,2.0,66000.0,0.0,TINTAL NORTE,2,ENTRE 10 Y 20 ANOS,4.66,-74.16,,,0,0,0,0,0,1,0,0,0,0,False,KENNEDY,S.C. OSORIO II - LA MAGDALENA CIUDAD TINTAL,Biblioteca Tintal,2098.35,0,PARQUE ZONAL SAN IGNACIO,647.53,0,0.31,,0.0,1.5,0.0,,0.05,2884.98,0.0
3972671,APARTAMENTO,VENTA,19.83,56.0,2.0,2.0,160000.0,1.0,LA SABANA,4,ENTRE 0 Y 5 ANOS,4.61,-74.08,,,0,0,0,0,0,1,0,0,0,0,False,LOS MARTIRES,SAN VICTORINO,De La Sabana,324.3,1,PARQUE METROPOLITANO TERCER MILENIO,1045.21,0,0.35,,0.5,1.0,0.0,,0.04,1196.4,0.0
3969686,APARTAMENTO,VENTA,19.32,52.0,3.0,2.0,204000.0,1.0,CALANDAIMA,3,ENTRE 0 Y 5 ANOS,4.65,-74.15,,,0,0,0,0,0,1,0,0,0,0,False,KENNEDY,S.C. TINTALA,Biblioteca Tintal,1912.41,0,PARQUE ZONAL SAN IGNACIO,740.99,0,0.37,,0.33,1.5,0.0,,0.06,2728.92,0.0
3812319,APARTAMENTO,VENTA,19.61,71.0,3.0,2.0,242000.0,1.0,CASTILLA,3,ENTRE 5 Y 10 ANOS,4.65,-74.14,,,0,0,0,1,0,1,0,0,0,0,False,KENNEDY,BOSCONIA,Transversal 86,1925.28,0,PARQUE VECINAL VILLA ALSACIA,950.47,0,0.28,,0.33,1.5,0.0,,0.04,1693.75,0.0
3047157,APARTAMENTO,VENTA,19.21,53.0,3.0,2.0,174000.0,0.0,CIUDAD MONTES,3,MAS DE 20 ANOS,4.61,-74.11,,,0,0,0,0,0,1,0,0,0,0,False,PUENTE ARANDA,TIBANA,Santa Isabel,1248.83,0,PARQUE VECINAL GORGONZOLA,466.42,1,0.36,,0.0,1.5,0.0,,0.06,2465.76,0.0
3746706,APARTAMENTO,VENTA,19.3,69.0,3.0,2.0,173000.0,1.0,SUBA,3,MAS DE 20 ANOS,4.75,-74.1,,,0,0,0,0,0,0,0,0,0,0,False,SUBA,LOMBARDIA II,Portal Suba,770.0,0,PARQUE VECINAL URBANIZACIÓN LOMBARDIA II ETAPA,337.0,1,0.28,,0.33,1.5,0.0,,0.04,562.49,0.0
4081633,APARTAMENTO,VENTA,19.57,56.0,3.0,2.0,120000.0,1.0,BOYACA REAL,3,ENTRE 0 Y 5 ANOS,4.69,-74.09,,,0,0,0,0,0,0,0,0,1,0,False,ENGATIVA,SANTA MARIA I Y II SECTOR,Minuto de Dios,700.0,0,PARQUE ZONAL BONANZA,501.97,0,0.35,,0.33,1.5,0.0,,0.05,948.2,0.0
4079650,CASA CON CONJUNTO CERRADO,VENTA,19.74,82.0,3.0,2.0,218000.0,1.0,BOLIVIA,3,MAS DE 20 ANOS,4.73,-74.12,,,0,0,0,0,0,0,0,0,0,0,False,ENGATIVA,EL_CORTIJO,Portal 80,2385.74,0,PARQUE METROPOLITANO PLANTA DE TRATAMIENTO SALITRE,643.21,0,0.24,,0.33,1.5,0.0,,0.04,2208.39,0.0
3762679,APARTAMENTO,VENTA,20.24,143.0,3.0,3.0,500000.0,1.0,LOS ALCAZARES,4,MAS DE 20 ANOS,4.67,-74.06,,,0,0,0,0,0,0,0,0,0,0,False,BARRIOS UNIDOS,POLO CLUB - BRASILIA,Calle 85,268.67,1,PARQUE METROPOLITANO RECONCILIACIÓN,337.49,1,0.14,,0.33,1.0,0.0,,0.02,539.7,0.0
2571820,APARTAMENTO,VENTA,19.45,71.0,3.0,2.0,274327.0,0.0,GARCES NAVAS,4,ENTRE 5 Y 10 ANOS,4.72,-74.13,,,0,0,0,0,0,0,0,0,0,0,False,ENGATIVA,S.C. ENGATIVA EL DORADO,Portal 80,2696.48,0,PARQUE METROPOLITANO PLANTA DE TRATAMIENTO SALITRE,991.59,0,0.27,,0.0,1.5,0.0,,0.04,2483.26,0.0
2535811,CASA,VENTA,20.01,126.0,6.0,3.0,3921395.93,1.0,BOSA CENTRAL,2,MAS DE 20 ANOS,4.6,-74.18,,,0,0,0,0,0,0,0,0,1,0,False,BOSA,LA ESTACION,Bosa,651.73,0,PARQUE VECINAL VILLA DE LOS SAUCES,640.77,0,0.16,,0.17,2.0,0.0,,0.05,475.05,1.0
3222591,APARTAMENTO,VENTA,20.03,85.0,2.0,3.0,426000.0,2.0,SANTA BARBARA,5,ENTRE 10 Y 20 ANOS,4.7,-74.05,,,0,0,0,0,0,0,0,0,0,0,False,USAQUEN,SANTA BARBARA OCCIDENTAL,Pepe Sierra,376.53,1,PARQUE ZONAL ATABANZA,1296.94,0,0.24,,1.0,0.67,0.0,,0.02,416.53,1.0
2167888,APARTAMENTO,VENTA,19.99,103.0,3.0,2.0,653000.0,2.0,LA ALHAMBRA,5,MAS DE 20 ANOS,4.69,-74.07,,,0,0,0,0,0,0,0,0,0,0,False,SUBA,PUENTE LARGO SECTOR I Y II,Puentelargo,235.03,1,PARQUE ZONAL CANAL CORDOBA,1017.14,0,0.19,,0.67,1.5,0.0,,0.03,496.63,1.0
